Product ID,Description,"Potential Build
Qty",Quantity,Component Product ID,Description,"Component product 
 Remaining",Component note
B1043Q,KASIDY - Grey Fabric Bed - Queen,17
,,,1,B1043Q-1/3,"Kasidy Velvet Bed(Dark Grey,Queen) - HEADBOARD",17,
,,,1,B1043Q-2/3,"Kasidy Velvet Bed(Dark Grey,Queen) - SIDE RAILS",17,
,,,1,B1043Q-3/3,"Kasidy Velvet Bed(Dark Grey,Queen) - FOOTBOARD+SLATS",17,
B1044K,KASIDY - Yellow Fabric Bed - King,9
,,,1,B1044K-1/3,"Kasidy Fabric Bed(Yellow,King) - HEADBOARD",9,
,,,1,B1044K-2/3,"Kasidy Fabric Bed(Yellow,King) - FOOTBOARD",9,
,,,1,B1044K-3/3,"Kasidy Fabric Bed(Yellow,King) - SIDE RAILS",9,
B1044Q,KASIDY - Yellow Fabric Bed - Queen,13
,,,1,B1044Q-1/3,"Kasidy Fabric Bed(Yellow,Queen) - HEADBOARD",13,
,,,1,B1044Q-2/3,"Kasidy Fabric Bed(Yellow,Queen) - FOOTBOARD+SLATS",13,
,,,1,B1044Q-3/3,"Kasidy Fabric Bed(Yellow,Queen) - SIDE RAILS",13,
B1045K,Amara - Grey Fabric Bed with Storage - King,
,,,1,B1045K-1/3,"Amara Fabric Bed(Grey,King) - HEADBOARD + DRAWERS",0,
,,,1,B1045K-2/3,"Amara Fabric Bed(Grey,King) - SIDE RAILS",0,
,,,1,B1045K-3/3,"Amara Fabric Bed(Grey,King) - FOOTBOARD + DRAWERS+FOOT",0,
B1045Q,Amara - Grey Fabric Bed with Storage - Queen,2
,,,1,B1045Q-1/3,"Amara Fabric Bed(Grey,Queen) - HEADBOARD + DRAWERS",2,
,,,1,B1045Q-2/3,"Amara Fabric Bed(Grey,Queen) - SIDE RAILS",3,
,,,1,B1045Q-3/3,"Amara Fabric Bed(Grey,Queen) - FOOTBOARD + DRAWERS+FOOT",2,
B1049K,BROOKLYN - Platform Bed - King,10
,,,1,B1049K-1/4,Brooklyn Platform Bed(King) - HEADBOARD,10,
,,,1,B1049K-2/4,Brooklyn Platform Bed(King) - SIDE RAILS,11,
,,,1,B1049K-3/4,Brooklyn Platform Bed(King) - FOOTBOARD,11,
,,,1,B1049K-4/4,Brooklyn Platform Bed(King) - DRAWERS,10,
B1049Q,BROOKLYN - Platform Bed - Queen,7
,,,1,B1049Q-1/4,Brooklyn Platform Bed(Queen) - HEADBOARD,7,
,,,1,B1049Q-2/4,Brooklyn Platform Bed(Queen) - SIDE RAILS,7,
,,,1,B1049Q-3/4,Brooklyn Platform Bed(Queen) - FOOTBOARD,7,
,,,1,B1049Q-4/4,Brooklyn Platform Bed(Queen) - DRAWERS,7,
B1050K,MACY - Pink Velvet Bed with Storage- King Size - KING,11
,,,1,B1050K-1/4,"Macy Fabric Bed with Storage(Velvet Pink,King) - HEADBOARD",12,
,,,1,B1050K-2/4,"Macy Fabric Bed with Storage(Velvet Pink,King) - SIDE RAILS+SLATS",11,
,,,1,B1050K-3/4,"Macy Fabric Bed with Storage(Velvet Pink,King) - FOOTBOARD",13,
,,,1,B1050K-4/4,"Macy Fabric Bed with Storage(Velvet Pink,King) - DRAWERS",12,
B1050Q,MACY - Pink Velvet Bed with Storage- Queen Size - QUEEN,1
,,,1,B1050Q-1/4,"Macy Fabric Bed with Storage(Velvet Pink,Queen) - HEADBOARD",2,
,,,1,B1050Q-2/4,"Macy Fabric Bed with Storage(Velvet Pink,Queen) - SIDE RAILS+SLATS",1,
,,,1,B1050Q-3/4,"Macy Fabric Bed with Storage(Velvet Pink,Queen) - FOOTBOARD",2,
,,,1,B1050Q-4/4,"Macy Fabric Bed with Storage(Velvet Pink,Queen) - DRAWERS",1,
B1051K,MACY - Grey Velvet Bed with Storage - King Size - KING,11
,,,1,B1051K-1/4,"Macy Fabric Bed with Storage(Velvet Grey,King) - HEADBOARD",12,
,,,1,B1051K-2/4,"Macy Fabric Bed with Storage(Velvet Grey,King) - SIDE RAILS+SLATS",11,
,,,1,B1051K-3/4,"Macy Fabric Bed with Storage(Velvet Grey,King) - FOOTBOARD",11,
,,,1,B1051K-4/4,"Macy Fabric Bed with Storage(Velvet Grey,King) - DRAWERS",12,
B1051Q,MACY - Grey Velvet Bed with Storage - Queen Size - QUEEN,1
,,,1,B1051Q-1/4,"Macy Fabric Bed with Storage(Velvet Grey,Queen) - HEADBOARD",2,
,,,1,B1051Q-2/4,"Macy Fabric Bed with Storage(Velvet Grey,Queen) - SIDE RAILS+SLATS",1,
,,,1,B1051Q-3/4,"Macy Fabric Bed with Storage(Velvet Grey,Queen) - FOOTBOARD",2,
,,,1,B1051Q-4/4,"Macy Fabric Bed with Storage(Velvet Grey,Queen) - DRAWERS",2,
B1052K,"Macy Fabric Bed with Storage(Velvet Beige,King)",44
,,,1,B1052K-1/4,"Macy Fabric Bed with Storage(Velvet Beige,King) - HEADBOARD",44,
,,,1,B1052K-2/4,"Macy Fabric Bed with Storage(Velvet Beige,King) - SIDE RAILS+SLATS",44,
,,,1,B1052K-3/4,"Macy Fabric Bed with Storage(Velvet Beige,King) - FOOTBOARD",44,
,,,1,B1052K-4/4,"Macy Fabric Bed with Storage(Velvet Beige,King) - DRAWERS",44,
B1052Q,"Macy Fabric Bed with Storage(Velvet Beige,Queen)",44
,,,1,B1052Q-1/4,"Macy Fabric Bed with Storage(Velvet Beige,Queen) - HEADBOARD",44,
,,,1,B1052Q-2/4,"Macy Fabric Bed with Storage(Velvet Beige,Queen) - SIDE RAILS+SLATS",44,
,,,1,B1052Q-3/4,"Macy Fabric Bed with Storage(Velvet Beige,Queen) - FOOTBOARD",44,
,,,1,B1052Q-4/4,"Macy Fabric Bed with Storage(Velvet Beige,Queen) - DRAWERS",44,
B1053K,MEREDITH - Beige Velvet Fabric Bed with Storage - King,43
,,,1,B1053K-1/3,"Meredith Fabric Bed(Velvet Beige,King) - HEADBOARD",43,
,,,1,B1053K-2/3,"Meredith Fabric Bed(Velvet Beige,King) - FOOTBOARD",43,
,,,1,B1053K-3/3,"Meredith Fabric Bed(Velvet Beige,King) - SIDE RAILS",43,
B1053Q,MEREDITH - Beige Velvet Fabric Bed with Storage - Queen,43
,,,1,B1053Q-1/3,"Meredith Fabric Bed(Velvet Beige,Queen) - HEADBOARD",43,
,,,1,B1053Q-2/3,"Meredith Fabric Bed(Velvet Beige,Queen) - FOOTBOARD",43,
,,,1,B1053Q-3/3,"Meredith Fabric Bed(Velvet Beige,Queen) - SIDE RAILS",43,
B1058K,ZAYA Mango Bed (King),
,,,1,B1058K-1/3,ZAYA Mango Bed (King) - HEADBOARD,0,
,,,1,B1058K-2/3,ZAYA Mango Bed (King) - SIDERAILS + LEGS,0,
,,,1,B1058K-3/3,ZAYA Mango Bed (King) - SLATS,0,
B1058Q,ZAYA Mango Bed (Queen),
,,,1,B1058Q-1/3,ZAYA Mango Bed (Queen) - Headboard,0,
,,,1,B1058Q-2/3,"ZAYA Mango Bed (Queen) - Siderails, Legs",0,
,,,1,B1058Q-3/3,ZAYA Mango Bed (Queen) - Slats,0,
B1059K,WAIMEA Acacia Bed (King),
,,,1,B1059K-1/2,"WAIMEA Acacia Bed (King)-HEADBOARD, SLATS, LEGS",0,"WAIMEA Acacia Bed (King)-HEADBOARD, SLATS, LEGS"
,,,1,B1059K-2/2,"WAIMEA Acacia Bed (King)-SIDERAIL, CENTER SUPPORT, LEG SUPPORT",0,"WAIMEA Acacia Bed (King)-SIDERAIL, CENTER SUPPORT, LEG SUPPORT"
B1059Q,WAIMEA Acacia Bed (Queen),
,,,1,B1059Q-1/2,"WAIMEA Acacia Bed (Queen)-HEADBOARD, SLATS, LEGS",0,"WAIMEA Acacia Bed (Queen)-HEADBOARD, SLATS, LEGS"
,,,1,B1059Q-2/2,"WAIMEA Acacia Bed (Queen)-SIDERAIL, CENTER SUPPORT, LEG SUPPORT",0,"WAIMEA Acacia Bed (Queen)-SIDERAIL, CENTER SUPPORT, LEG SUPPORT"
B1060K,"ANNISTON Fabric Bed with Storage(Dark Blue,King)",
,,,1,B1060K-1/4,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - HEADBOARD",0,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - HEADBOARD"
,,,1,B1060K-2/4,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - SIDE RAILS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - SIDE RAILS"
,,,1,B1060K-3/4,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - FOOTBOARD+SLATS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - FOOTBOARD+SLATS"
,,,1,B1060K-4/4,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - DRAWERS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,King) - DRAWERS"
B1060Q,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen)",
,,,1,B1060Q-1/4,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - HEADBOARD",0,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - HEADBOARD"
,,,1,B1060Q-2/4,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - SIDE RAILS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - SIDE RAILS"
,,,1,B1060Q-3/4,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - FOOTBOARD+SLATS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - FOOTBOARD+SLATS"
,,,1,B1060Q-4/4,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - DRAWERS",0,"ANNISTON Fabric Bed with Storage(Dark Blue,Queen) - DRAWERS"
B1061K,"ANNISTON Fabric Bed with Storage( Rose Pink,King)",
,,,1,B1061K-1/4,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - HEADBOARD",0,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - HEADBOARD"
,,,1,B1061K-2/4,"ANNISTON Fabric Bed with Storage( Rose Pink,King) -SIDE RAILS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,King) -SIDE RAILS"
,,,1,B1061K-3/4,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - FOOTBOARD+SLATS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - FOOTBOARD+SLATS"
,,,1,B1061K-4/4,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - DRAWERS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,King) - DRAWERS"
B1061Q,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen)",
,,,1,B1061Q-1/4,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - HEADBOARD",0,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - HEADBOARD"
,,,1,B1061Q-2/4,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - SIDE RAILS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - SIDE RAILS"
,,,1,B1061Q-3/4,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - FOOTBOARD+SLATS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - FOOTBOARD+SLATS"
,,,1,B1061Q-4/4,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - DRAWERS",0,"ANNISTON Fabric Bed with Storage( Rose Pink,Queen) - DRAWERS"
