ParentID,ParentDesc,ProductID,OrderID,Destination,Desc,Quantity,PreorderDateOnline,EstimateDate,ContainerNum,UnitReceived,LifeCycle,Description,Remaining after reservations including BOM units WZ0002,Montreal ATS,Remaining after reservations including BOM units WZ0003,TotalATS
B1042Q,"Kudrow Fabric Bed with Storage(Grey,Queen)",B1042Q-1/3,100753,WZ0002,"Kudrow Fabric Bed with Storage(Grey,Queen) - HEADBOARD + DRAWERS",20.0,,,,0.0,,,,,,
B1042Q,"Kudrow Fabric Bed with Storage(Grey,Queen)",B1042Q-2/3,100753,WZ0002,"Kudrow Fabric Bed with Storage(Grey,Queen) - SIDE RAILS",20.0,,,,0.0,,,,,,
B1042Q,"Kudrow Fabric Bed with Storage(Grey,Queen)",B1042Q-3/3,100753,WZ0002,"Kudrow Fabric Bed with Storage(Grey,Queen) - FOOTBOARD+DRAWERS+FOOT",20.0,,,,0.0,,,,,,
B1043Q,"Kasidy Velvet Bed(Dark Grey,Queen)",B1043Q-1/3,100657,WZ0003,"Kasidy Velvet Bed(Dark Grey,Queen) - HEADBOARD",22.0,2021-3-15,2022-03-10,,0.0,,,,,,
B1043Q,"Kasidy Velvet Bed(Dark Grey,Queen)",B1043Q-2/3,100657,WZ0003,"Kasidy Velvet Bed(Dark Grey,Queen) - SIDE RAILS",22.0,2021-3-15,2022-03-10,,0.0,,,,,,
B1043Q,"Kasidy Velvet Bed(Dark Grey,Queen)",B1043Q-3/3,100657,WZ0003,"Kasidy Velvet Bed(Dark Grey,Queen) - FOOTBOARD+SLATS",22.0,2021-3-15,2022-03-10,,0.0,,,,,,
B1045Q,"Amara Fabric Bed(Grey,Queen)",B1045Q-1/3,100753,WZ0002,"Amara Fabric Bed(Grey,Queen) - HEADBOARD + DRAWERS",20.0,,,,0.0,,,,,,
B1045Q,"Amara Fabric Bed(Grey,Queen)",B1045Q-2/3,100753,WZ0002,"Amara Fabric Bed(Grey,Queen) - SIDE RAILS",20.0,,,,0.0,,,,,,
B1045Q,"Amara Fabric Bed(Grey,Queen)",B1045Q-3/3,100753,WZ0002,"Amara Fabric Bed(Grey,Queen) - FOOTBOARD + DRAWERS+FOOT",20.0,,,,0.0,,,,,,
S1079,MASON Fabric Modular Set (Velvet Blue - 5 piece),S1076,100756,WZ0002,MASON Fabric Corner Chair Module(Velvet Blue),45.0,,,,0.0,,,,,,
S1079,MASON Fabric Modular Set (Velvet Blue - 5 piece),S1077,100757,WZ0002,MASON Fabric Armless Chair Module(Velvet Blue),35.0,,,,0.0,,,,,,
S1080,MASON Fabric Modular Set (Velvet Blue - 4 piece),S1076,100756,WZ0002,MASON Fabric Corner Chair Module(Velvet Blue),45.0,,,,0.0,,,,,,
S1080,MASON Fabric Modular Set (Velvet Blue - 4 piece),S1077,100757,WZ0002,MASON Fabric Armless Chair Module(Velvet Blue),35.0,,,,0.0,,,,,,
S1081,MASON Fabric Modular Set (Velvet Blue - 3 piece),S1077,100757,WZ0002,MASON Fabric Armless Chair Module(Velvet Blue),35.0,,,,0.0,,,,,,
S1081,MASON Fabric Modular Set (Velvet Blue - 3 piece),S1076,100756,WZ0002,MASON Fabric Corner Chair Module(Velvet Blue),45.0,,,,0.0,,,,,,
S1125,"FONDA Fabric Sectional Sofa(Velvet Green,Left)",S1125-1/2,100733,WZ0002,"FONDA Fabric Sectional Sofa(Velvet Green,Left) - TWO SEATER",10.0,,,,0.0,New,,,,,
S1125,"FONDA Fabric Sectional Sofa(Velvet Green,Left)",S1125-2/2,100733,WZ0002,"FONDA Fabric Sectional Sofa(Velvet Green,Left)- CHAISE LOUNGE",10.0,,,,0.0,New,,,,,
S1126,"FONDA Fabric Sectional Sofa(Velvet Green,Right)",S1126-1/2,100733,WZ0002,"FONDA Fabric Sectional Sofa(Velvet Green,Right) - TWO SEATER",16.0,,,,0.0,New,,,,,
S1126,"FONDA Fabric Sectional Sofa(Velvet Green,Right)",S1126-2/2,100733,WZ0002,"FONDA Fabric Sectional Sofa(Velvet Green,Right)- CHAISE LOUNGE",16.0,,,,0.0,New,,,,,
T0803,"Acacia Live Edge Table(210cm,Natural,X Chrome)",X2010,100900,WZ0002,"Acacia Live Edge Table Top(210cm,Natural)",43.0,2022-1-30,2022-03-06,MSCU5225691,0.0,NOOS,,,,,
T1523,"Tulip Marble Dining Table(90cm,Round)",T1523-1/2,100696,WZ0002,"Tulip Marble Dining Table(90cm,Round) - Table Top",20.0,2022-4-15,2022-03-30,TBD,0.0,NOOS,,,,,
T4011,"Acacia Live Edge Table(210cm,Natural,X Black)",X2010,100900,WZ0002,"Acacia Live Edge Table Top(210cm,Natural)",43.0,2022-1-30,2022-03-06,MSCU5225691,0.0,NOOS,,,,,
T4032,"Acacia Live Edge Table(210cm,Natural,U Black)",X2010,100900,WZ0002,"Acacia Live Edge Table Top(210cm,Natural)",43.0,2022-1-30,2022-03-06,MSCU5225691,0.0,NOOS,,,,,
T4060,"Acacia Live Edge Table(210cm,Natural,U Chrome)",X2010,100900,WZ0002,"Acacia Live Edge Table Top(210cm,Natural)",43.0,2022-1-30,2022-03-06,MSCU5225691,0.0,NOOS,,,,,
T5001,"Suar Live Edge Table(180cm,Natural,U Black)",X2016,100642,WZ0002,"Suar Live Edge Table Top (180 cm.,Natural).",40.0,2021-12-30,2022-02-17,MSMU7857352,0.0,NOOS,,,,,
T5004,"Suar Live Edge Table(180cm,Natural,U Chrome)",X2016,100642,WZ0002,"Suar Live Edge Table Top (180 cm.,Natural).",40.0,2021-12-30,2022-02-17,MSMU7857352,0.0,NOOS,,,,,
T5007,"Suar Live Edge Table(180cm,Natural,X Black)",X2016,100642,WZ0002,"Suar Live Edge Table Top (180 cm.,Natural).",40.0,2021-12-30,2022-02-17,MSMU7857352,0.0,NOOS,,,,,
T5010,"Suar Live Edge Table(180cm,Natural,X Chrome)",X2016,100642,WZ0002,"Suar Live Edge Table Top (180 cm.,Natural).",40.0,2021-12-30,2022-02-17,MSMU7857352,0.0,NOOS,,,,,
T5162,"Suar Live Edge Table(210cm,Natural,U Black)",X2018,100572,WZ0002,"Suar Live Edge Table Top (210 cm.,Natural).",20.0,2022-2-15,2022-02-28,TRHU5058555,0.0,NOOS,,,,,
T5163,"Suar Live Edge Table(210cm,Natural,U Chrome)",X2018,100572,WZ0002,"Suar Live Edge Table Top (210 cm.,Natural).",20.0,2022-2-15,2022-02-28,TRHU5058555,0.0,NOOS,,,,,
T5164,"Suar Live Edge Table(210cm,Natural,X Black)",X2018,100572,WZ0002,"Suar Live Edge Table Top (210 cm.,Natural).",20.0,2022-2-15,2022-02-28,TRHU5058555,0.0,NOOS,,,,,
